token,list of numbers
hiccup,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
overcom,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
cheaply,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
bullshit,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
undeny,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
meist,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
midnight,"[1, 0, 1, 0, 3, 0, 4, 0, 1]"
chong,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
jalape\xc3\xb1o,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
pango,"[0, 0, 2, 0, 1, 0, 0, 0, 0]"
oaxac,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
~10,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
thur,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
jun,"[2, 0, 3, 0, 0, 0, 0, 0, 0]"
8:59pm,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
fastfood,"[1, 0, 1, 0, 6, 0, 1, 0, 2]"
giggl,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
wag,"[1, 0, 1, 0, 1, 0, 0, 0, 0]"
telepathy,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
stupid,"[2, 0, 1, 0, 1, 0, 1, 0, 0]"
1025,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
oakak,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
spel,"[0, 0, 0, 0, 0, 0, 5, 0, 3]"
1125,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
buddah,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
deck,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
ninj,"[1, 0, 3, 0, 0, 0, 0, 0, 1]"
delishhhh,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
dumbfound,"[0, 0, 2, 0, 0, 0, 0, 0, 0]"
wilt,"[3, 0, 4, 0, 1, 0, 0, 0, 1]"
feshi,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
colonel,"[1, 0, 0, 0, 0, 0, 2, 0, 0]"
finch,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
hotst,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
v,"[0, 0, 0, 0, 3, 0, 0, 0, 0]"
cus,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
15mins,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
friy,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
tato,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
clar,"[1, 0, 2, 0, 2, 0, 0, 0, 1]"
bash,"[2, 0, 0, 0, 0, 0, 0, 0, 1]"
quintess,"[0, 0, 0, 0, 0, 0, 2, 0, 2]"
mimo,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ventil,"[1, 0, 1, 0, 2, 0, 1, 0, 2]"
smokefr,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
wellpack,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
bunkerlik,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
bely,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
unworthy,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
disco,"[3, 0, 0, 0, 3, 0, 1, 0, 1]"
dual,"[0, 0, 0, 0, 2, 0, 1, 0, 1]"
university/king,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
streeti,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
dispens,"[2, 0, 0, 0, 2, 0, 1, 0, 1]"
jawad,"[0, 0, 0, 0, 1, 0, 1, 0, 8]"
rice/vegetables,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
fatoush,"[0, 0, 0, 0, 0, 0, 1, 0, 6]"
greasy/,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
hygy,"[3, 0, 2, 0, 0, 0, 2, 0, 1]"
artic,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
metic,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
885,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
mccain,"[0, 0, 1, 0, 1, 0, 1, 0, 0]"
homo,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
nightclub,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
whos,"[0, 0, 1, 0, 1, 0, 1, 0, 2]"
easiest,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
soul,"[5, 0, 4, 0, 4, 0, 4, 0, 6]"
familyown,"[0, 0, 0, 0, 2, 0, 3, 0, 1]"
rainy,"[0, 0, 0, 0, 1, 0, 1, 0, 2]"
fb,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
maneesh,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
splus,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
thirty,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
greasiest,"[2, 0, 0, 0, 0, 0, 0, 0, 1]"
burb,"[0, 0, 0, 0, 3, 0, 0, 0, 0]"
proposit,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
shawerma,"[0, 0, 0, 0, 3, 0, 1, 0, 0]"
arabesqu,"[0, 0, 1, 0, 1, 0, 6, 0, 2]"
kabab,"[0, 0, 2, 0, 1, 0, 0, 0, 6]"
scraps,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
fatoosh,"[0, 0, 0, 0, 0, 0, 3, 0, 0]"
execel,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
mohamar,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
mohammar,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
fatet,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
makd,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
exempl,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
praiseworthy,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
saffron,"[0, 0, 2, 0, 3, 0, 1, 0, 2]"
500,"[1, 0, 1, 0, 1, 0, 0, 0, 2]"
flatscreen,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
869,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
almadin,"[0, 0, 2, 0, 0, 0, 2, 0, 2]"
taboul,"[0, 0, 1, 0, 0, 0, 4, 0, 3]"
abut,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
tooo,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
streamlines,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
nbd,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
scream,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
1049,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
pretop,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
pizza/gourmet,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5438905438,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
impressedth,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
blink,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
floury,"[1, 0, 0, 0, 2, 0, 1, 0, 0]"
chisel,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
coach,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
810,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
sauces/topping,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
breath,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
unlimitd,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
~24,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
tril,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
waaaay,"[1, 0, 1, 0, 1, 0, 1, 0, 0]"
pieolog,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
destress,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
godfath,"[0, 0, 0, 0, 1, 0, 3, 0, 2]"
3lb,"[0, 0, 0, 0, 1, 0, 2, 0, 0]"
allday,"[1, 0, 0, 0, 3, 0, 6, 0, 2]"
60s,"[1, 0, 0, 0, 1, 0, 0, 0, 1]"
retrostyl,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
meatlov,"[0, 0, 0, 0, 4, 0, 0, 0, 0]"
textureless,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
plasticlik,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
milkshak,"[3, 0, 10, 0, 9, 0, 23, 0, 7]"
50s,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
film,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
chrome,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
apron,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
dre,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
neon,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
pos,"[1, 0, 1, 0, 0, 0, 2, 0, 0]"
edgy,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
riverd,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2ftoastin,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
s=fd8d11611f6ac5f2734cdb748bfcda7237a88ac0a8d70ebffa76d03a5022e714,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
toastin,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
shepherd,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
10am,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
jukebox,"[0, 0, 1, 0, 2, 0, 4, 0, 1]"
24/7,"[1, 0, 0, 0, 1, 0, 1, 0, 1]"
sauceless,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
unmelt,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
brekky,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
florentin,"[0, 0, 0, 0, 5, 0, 0, 0, 2]"
flavourw,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
2530min,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1199,"[0, 0, 3, 0, 4, 0, 0, 0, 1]"
sausage/bacon,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
*secret,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
alert*,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
etiquet,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
resum,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
jerry,"[1, 0, 2, 0, 1, 0, 0, 0, 0]"
fib,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
exchang,"[4, 0, 1, 0, 4, 0, 1, 0, 0]"
slept,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
unhapppy,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
cora,"[1, 0, 1, 0, 1, 0, 0, 0, 1]"
absurd,"[1, 0, 3, 0, 0, 0, 0, 0, 1]"
1499,"[3, 0, 1, 0, 0, 0, 2, 0, 2]"
pity,"[1, 0, 2, 0, 0, 0, 2, 0, 0]"
waitlin,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
sunnysid,"[0, 0, 2, 0, 0, 0, 1, 0, 0]"
11:17pm,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
yafeel,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
11:37pm,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
11:57pm,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
11:57,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
jetson,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
12:03am,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
11:50,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
quiz,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
pay/pack,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
sausage/bacon/ham,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
butthol,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
offho,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
sheppard,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
lousy,"[1, 0, 1, 0, 1, 0, 0, 0, 0]"
mad/meh,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
2am,"[1, 0, 1, 0, 1, 0, 1, 0, 0]"
mumchy,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
calmy,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
straw,"[3, 0, 3, 0, 1, 0, 1, 0, 1]"
populac,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
lou,"[1, 0, 2, 0, 1, 0, 1, 0, 2]"
armstrong,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
wrinkl,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
saltiest,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
humong,"[0, 0, 1, 0, 1, 0, 2, 0, 1]"
inordin,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
kitschy,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
inauth,"[0, 0, 1, 0, 1, 0, 1, 0, 0]"
overeasy,"[0, 0, 4, 0, 0, 0, 2, 0, 0]"
cut/rip/chew,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
seep,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
pancakes/toast,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
rowdy,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
oas,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
nah,"[1, 0, 1, 0, 0, 0, 0, 0, 0]"
het,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
20152016,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
annoyed/are,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
nail,"[2, 0, 0, 0, 1, 0, 3, 0, 1]"
8am,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
7:50,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
8:05,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
8:17,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
8:58,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
9:10,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
3rd,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
definitley,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
undergradu,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
2010,"[0, 0, 0, 0, 2, 0, 1, 0, 0]"
wellknown,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
tweet,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
tack,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
midrang,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
honeymoon,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
hitandmiss,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
welldesign,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
simult,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
newcom,"[1, 0, 0, 0, 1, 0, 1, 0, 0]"
students/resident,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
tox,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
0/10,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
*pukes*,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
bitchy,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
hungov,"[0, 0, 1, 0, 0, 0, 2, 0, 2]"
line/wait,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
199,"[1, 0, 1, 0, 3, 0, 1, 0, 0]"
karl,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
digress,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
deel,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
faviourit,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
feet,"[1, 0, 2, 0, 3, 0, 4, 0, 3]"
uhhh,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
particip,"[2, 0, 1, 0, 0, 0, 1, 0, 0]"
congrat,"[1, 0, 1, 0, 0, 0, 0, 0, 1]"
cranky,"[2, 0, 1, 0, 2, 0, 0, 0, 0]"
swift,"[1, 0, 1, 0, 2, 0, 0, 0, 0]"
kayl,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
scrambled,"[2, 0, 4, 0, 4, 0, 5, 0, 1]"
scramble,"[0, 0, 1, 0, 0, 0, 1, 0, 3]"
rectangl,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
allho,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3am,"[0, 0, 1, 0, 1, 0, 1, 0, 0]"
unfriend,"[3, 0, 5, 0, 3, 0, 0, 0, 0]"
bbop,"[2, 0, 0, 0, 0, 0, 2, 0, 0]"
huervo,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
instil,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
retrograd,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
amnes,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
201309,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
speedst,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
rebuilt,"[0, 0, 1, 0, 2, 0, 0, 0, 1]"
cem,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
cadillac,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
unat,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
amy,"[1, 0, 0, 0, 1, 0, 2, 0, 0]"
*bacon*,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
religy,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
subsist,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
eh,"[0, 0, 2, 0, 1, 0, 1, 0, 1]"
capt,"[0, 0, 1, 0, 0, 0, 2, 0, 2]"
cheers~,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
theme/interior,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
tat,"[0, 0, 1, 0, 0, 0, 1, 0, 1]"
dissappoint,"[0, 0, 2, 0, 0, 0, 0, 0, 0]"
kies,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
uphold,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
omn,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
roadkil,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
walmart,"[2, 0, 2, 0, 1, 0, 1, 0, 0]"
rhond,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
marlboro,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
loveh,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
caps,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
elv,"[0, 0, 0, 0, 1, 0, 2, 0, 5]"
richard,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
chronically,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
hubb,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
bubb,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
cour,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
christo,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
chok,"[3, 0, 1, 0, 0, 0, 0, 0, 0]"
weston,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
~15min,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
waterloo/kitchener/guelph,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
*sigh*,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
rebuild,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
firetruck,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
torn,"[1, 0, 1, 0, 0, 0, 2, 0, 0]"
shor,"[1, 0, 0, 0, 1, 0, 3, 0, 4]"
caffein,"[0, 0, 0, 0, 0, 0, 3, 0, 1]"
9years,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
erin,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
hillsburgh,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
atom,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
ae,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
xoff,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
michett,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
oatm,"[3, 0, 1, 0, 1, 0, 2, 0, 9]"
sench,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
scon,"[0, 0, 0, 0, 2, 0, 3, 0, 4]"
locallysourc,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
valley,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
mondaysaturday,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
grandp,"[1, 0, 0, 0, 0, 0, 1, 0, 2]"
froth,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
sandwiches/soup,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
intellect,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
sem,"[1, 0, 0, 0, 0, 0, 1, 0, 1]"
groundw,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
pourov,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
perk,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
unicorn,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
chock,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
yuppy,"[0, 0, 1, 0, 3, 0, 0, 0, 0]"
gery,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
tow,"[3, 0, 0, 0, 6, 0, 5, 0, 4]"
coffeeshop,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
retriev,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
wholefood,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
volvo,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
wagon,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
baby/dog,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
ordr,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
reliev,"[2, 0, 1, 0, 0, 0, 1, 0, 0]"
goddamn,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
vietnamesestyl,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
springrolls,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
lust,"[1, 0, 0, 0, 0, 0, 2, 0, 0]"
funct,"[0, 0, 0, 0, 2, 0, 4, 0, 2]"
miniminigrocery,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
swel,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
cor,"[3, 0, 13, 0, 7, 0, 13, 0, 5]"
scheme,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
sustain,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
tramazin,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
promot,"[2, 0, 2, 0, 7, 0, 5, 0, 1]"
cag,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
conf,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
ethiop,"[0, 0, 0, 0, 1, 0, 9, 0, 31]"
locals/people,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ceremony,"[0, 0, 0, 0, 2, 0, 2, 0, 2]"
jeben,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
frankincens,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
couldntb,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
muy,"[0, 0, 0, 0, 0, 0, 1, 0, 3]"
injer,"[0, 0, 0, 0, 0, 0, 7, 0, 9]"
ceremonybest,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
incens,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
sleep,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
37,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
grind,"[0, 0, 0, 0, 0, 0, 0, 0, 3]"
tween,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
pancake/bread,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
cleanliness\xe2\x80\x8b,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
legum,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ethop,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
tomorrow,"[1, 0, 2, 0, 0, 0, 2, 0, 1]"
gastronom,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
discreet,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
tib,"[0, 0, 0, 0, 0, 0, 2, 0, 3]"
tidy,"[0, 0, 0, 0, 0, 0, 3, 0, 1]"
shiro,"[0, 0, 0, 0, 0, 0, 2, 0, 2]"
chickpe,"[0, 0, 0, 0, 0, 0, 3, 0, 8]"
adjoin,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
injeratogo,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
longstand,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
berb,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
doro,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
wot,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
probkem,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
prefix,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
10:30,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
bartender/,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
checkedin,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
wellseason,"[0, 0, 0, 0, 1, 0, 3, 0, 1]"
30/,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
app/,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
approx,"[2, 0, 3, 0, 1, 0, 0, 0, 3]"
cert,"[1, 0, 0, 0, 0, 0, 6, 0, 0]"
otoh,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
scrape,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
tablespoon,"[1, 0, 1, 0, 1, 0, 0, 0, 0]"
seg,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
prosecco,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
gm,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
gms,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
barramund,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
groupon,"[3, 0, 0, 0, 2, 0, 6, 0, 3]"
rebook,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
goodbet,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
optim,"[1, 0, 2, 0, 0, 0, 2, 0, 1]"
wildfir,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
9300,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
ion,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
lrt,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
disrupt,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
gluggy,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
fudg,"[0, 0, 0, 0, 2, 0, 1, 0, 3]"
buis,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
defend,"[2, 0, 2, 0, 3, 0, 1, 0, 0]"
